CustomerID,CustomerName,Email,Phone,SignupDate,Region,LoyaltyPoints,AccountStatus,LastLogin,PreferredLanguage,PreferredPaymentMethod,LastPurchaseDate,Address
C00036,Kimberly Page,meyerschristopher@example.com,+1-212-596-0401,2024-06-27,EU,252,Suspended,2024-10-26 22:10:36,English,Bank Transfer,2024-07-02 21:47:52,"5143 Burnett Expressway Apt. 272, North Benjamin, AS 56269"
C00037,Richard Banks,william59@example.com,001-695-946-8584,2023-09-12,APAC,899,Active,2025-06-19 18:46:07,Chinese,Credit Card,2024-12-15 12:05:34,"6876 Johnson Road Suite 737, West Jason, OH 91809"
C00038,Mr. Lawrence Jones,michael39@example.net,(339)510-3324,2023-12-21,EU,834,Inactive,2024-09-30 13:12:35,French,Credit Card,2025-01-31 03:32:04,"246 Benjamin Square, Johnsontown, WA 89225"
C00039,Oscar Meyers,sfuentes@example.org,951.823.8339,2023-07-04,EU,873,Active,2024-09-24 10:31:06,French,PayPal,2025-03-29 11:47:20,"8541 Anthony Estates Suite 832, New David, MP 85118"
C00040,Devin Webb,spencerwilson@example.com,626-768-8785,2024-07-26,UK,533,Inactive,2025-06-06 05:46:19,Spanish,Bank Transfer,2025-01-13 02:27:55,"48130 Michael Shoal, Port Nicolefurt, MI 44144"
C00041,Mr. Charles Farrell,vrivera@example.org,734.252.3449,2025-04-18,EU,631,Suspended,2024-11-14 11:00:22,Spanish,PayPal,2024-12-25 00:04:46,"6230 Jamie Rapids, Brucechester, MN 89709"
C00042,Brad Washington,nthompson@example.net,467-804-3856,2023-09-23,APAC,896,Inactive,2025-03-17 15:50:52,German,Credit Card,2025-04-29 23:57:35,"5480 Johnson Spring Apt. 508, Lake Monica, FM 80264"
C00043,Austin Walsh,epeterson@example.net,001-455-507-7237,2025-04-22,APAC,550,Active,2025-06-04 15:57:43,German,Bank Transfer,2024-12-19 04:03:47,"4514 Johnson Square Apt. 334, Jenniferside, NV 88744"
C00044,Richard Perry,aholder@example.org,+1-825-871-5670x00612,2023-11-08,US,290,Active,2024-11-29 23:02:37,English,Bank Transfer,2025-06-20 14:52:26,"085 Gamble Path Apt. 601, North Jenniferville, CO 21841"
C00045,Dr. Donald Bridges,awong@example.org,532-274-5129,2024-11-02,APAC,727,Suspended,2024-12-29 19:57:29,Chinese,Credit Card,2025-04-03 13:10:31,"263 Davidson Estate, Fergusonland, NV 03175"
C00046,Amanda Perez,susan46@example.com,7959616827,2024-10-05,APAC,915,Active,2025-03-20 16:37:40,Chinese,PayPal,2024-10-26 06:33:46,"62464 Jamie Plains Apt. 295, West James, RI 47198"
C00047,William Thomas,martha65@example.org,8076807128,2023-08-21,EU,23,Suspended,2024-06-29 23:07:09,French,Credit Card,2025-02-15 19:05:38,"89086 Paul Plains Apt. 447, New Angela, CT 63440"
C00048,Angelica Brown,amandabradshaw@example.org,001-759-297-3284,2024-06-17,CA,562,Inactive,2024-12-01 16:20:31,French,PayPal,2024-10-15 08:31:56,"3451 Mitchell Haven, Brittanyburgh, HI 91653"
C00049,Walter Woods,yvette44@example.net,292.681.4190,2025-06-08,UK,804,Inactive,2025-01-06 20:43:01,Chinese,Bank Transfer,2025-03-12 16:08:57,"58899 Hernandez Lane, Cookview, MO 18692"
C00050,Cassandra Lopez,gregory72@example.com,489-868-3175x4829,2023-09-14,US,882,Active,2025-03-28 10:32:31,German,Bank Transfer,2025-03-02 12:46:01,"75417 Claudia Estates Suite 885, New Tylerland, NY 10496"
C00051,Jamie Rocha,lisa30@example.com,554-415-4214,2024-11-21,UK,664,Inactive,2024-09-18 17:27:00,French,PayPal,2025-01-18 17:08:41,"35417 Justin Drives Suite 759, Port Josephview, NH 87348"
C00052,Kristy Buchanan,tallen@example.org,608-984-9194x245,2025-01-10,UK,594,Suspended,2024-07-22 04:06:17,English,Bank Transfer,2025-06-20 19:27:23,"6289 Gordon Heights, Jacksonchester, TX 02512"
C00053,Carolyn Shaffer,bradley50@example.org,001-257-299-4300,2024-08-18,CA,498,Active,2025-01-06 18:48:35,German,Credit Card,2025-05-29 06:50:10,"3471 Weaver Orchard, Travismouth, WA 12667"
C00054,John Rivers,sferguson@example.org,783.548.9964,2025-01-19,CA,807,Suspended,2024-10-25 08:24:39,English,Credit Card,2024-10-13 12:42:38,"6011 David Walk Apt. 977, Deanborough, OH 86507"
C00055,Candace Neal,nathaniellewis@example.net,647.989.0256,2025-01-04,UK,121,Active,2025-03-30 14:50:10,Chinese,Credit Card,2024-07-15 17:14:46,"9490 Walker Hills Suite 386, Andrewview, WI 45745"
C00056,Jade Kirby,aaron93@example.com,(934)377-7082,2025-05-26,US,591,Active,2025-04-20 12:52:11,English,Credit Card,2025-02-21 03:12:00,"8637 Anna Highway Suite 361, North Tamiside, WV 60143"
C00057,Nicholas Estrada,stewartmarissa@example.org,274.879.9197,2024-11-15,UK,621,Inactive,2024-11-15 23:03:43,Chinese,Credit Card,2024-07-25 12:28:27,"6173 Woods Locks, Johntown, MA 46961"
C00058,Kenneth Becker,whitneyochoa@example.net,(909)832-8532x8813,2025-02-21,EU,168,Suspended,2024-08-05 20:06:55,French,Credit Card,2024-10-30 22:15:34,"143 Salas Brooks, New Jenniferview, IA 58585"
C00059,Lisa Sullivan,courtney68@example.org,+1-844-915-0289x228,2024-10-23,UK,76,Suspended,2025-04-24 04:11:17,Spanish,Credit Card,2024-08-11 07:38:45,"4668 Beth Lakes Suite 046, Hessberg, MT 04640"
C00060,Juan Williams,garywells@example.com,(850)217-0984x079,2023-09-19,CA,499,Suspended,2025-04-27 02:33:39,English,Credit Card,2025-01-08 14:44:29,"PSC 5181, Box 1141, APO AE 09288"
C00061,Jennifer King,maysmatthew@example.org,620.657.4133,2023-10-17,US,394,Suspended,2024-12-21 23:05:10,French,PayPal,2024-11-30 04:39:02,"6976 Norma Club Apt. 847, Erikahaven, NH 71211"
C00062,James Wise,brian21@example.org,(265)820-2897x118,2025-03-19,EU,394,Inactive,2025-05-19 18:14:06,German,Credit Card,2025-05-11 18:26:30,"1223 Moore Pines Suite 839, East Danielland, FM 89921"
C00063,Evan Smith,paul24@example.com,+1-773-924-7859x6491,2024-05-07,EU,756,Inactive,2024-10-19 01:15:16,French,Bank Transfer,2024-08-19 02:26:54,"03459 Romero Squares Apt. 720, Gibsonview, IA 32751"
C00064,Brandy Wilson,josephjamie@example.net,247.709.8146,2024-08-23,UK,665,Inactive,2025-06-24 02:06:33,French,Bank Transfer,2025-03-28 07:00:55,"5896 Preston Lane Apt. 597, Kruegershire, ND 02655"
C00065,Katherine Green,deniserocha@example.org,468.812.1211x92458,2024-11-15,EU,837,Active,2025-01-23 13:56:59,English,Credit Card,2025-02-18 06:56:14,"89487 Shelby Shoals Apt. 223, North Lindaburgh, FL 52834"
C00066,Morgan Stewart,stephanie42@example.net,+1-639-938-3871x841,2024-10-20,APAC,204,Suspended,2024-07-19 15:46:46,Chinese,PayPal,2025-05-04 08:47:12,"857 Mercedes Gateway, Kirkburgh, PA 24068"
C00067,Debra Ferguson,miranda16@example.com,001-224-679-6825x87976,2025-06-12,CA,187,Active,2025-05-24 19:35:21,Spanish,Credit Card,2024-11-18 06:05:49,"3898 Martinez Wall Suite 882, Johnnyfort, DE 78715"
C00068,Carl Harris,jacqueline93@example.net,715.205.4735x162,2024-12-21,CA,464,Inactive,2024-11-20 11:54:06,English,PayPal,2024-07-18 02:22:59,"6707 Burke Track Suite 994, Jonesfurt, NY 78363"
C00069,Chad Jimenez,caseyrandy@example.net,001-400-331-7552,2025-02-28,EU,276,Suspended,2025-04-19 17:08:09,English,PayPal,2025-04-18 20:48:19,"USNV Montgomery, FPO AP 81979"
C00070,Jacqueline Parrish,richard61@example.org,+1-701-820-2273x4377,2025-03-21,CA,30,Inactive,2024-12-25 15:21:41,English,Bank Transfer,2024-08-12 14:38:40,"1479 Walker Vista Apt. 221, Port Shannon, UT 45926"
C00071,Teresa Parker,cwright@example.com,976-270-3372x23466,2024-03-18,APAC,494,Inactive,2025-02-25 10:32:25,English,Bank Transfer,2025-03-26 01:56:10,"Unit 0566 Box 0284, DPO AP 44415"
C00072,Nicholas Ortiz,burnsdenise@example.net,001-513-325-9141x2123,2023-09-18,EU,494,Inactive,2024-12-24 22:07:21,English,Credit Card,2024-10-25 01:34:18,"24478 Jenna Roads Apt. 697, South Ashley, KY 46549"
C00073,Jonathan Gregory,johnsoncheryl@example.org,(445)694-6223,2024-01-12,CA,533,Inactive,2024-09-05 07:34:05,French,PayPal,2024-09-22 19:03:07,"3258 Nathan Squares Suite 896, Michaelville, IA 27470"
C00074,Rebecca Quinn,keith55@example.com,368-707-5779,2024-04-14,EU,238,Inactive,2025-01-27 08:38:45,Chinese,Credit Card,2024-07-08 10:37:28,"21817 Michael Canyon Suite 086, North Rhonda, OR 74379"
C00075,Nicole Carter,vazquezandrew@example.net,001-430-327-4602x402,2024-10-08,EU,848,Suspended,2024-07-26 01:03:21,English,Bank Transfer,2025-02-12 20:19:22,"34961 John Groves, Gregoryburgh, ND 84000"
C00076,Stephen Watson,andrea79@example.org,+1-962-713-7531x599,2024-08-01,APAC,148,Inactive,2025-05-01 09:40:41,Chinese,Credit Card,2025-04-08 01:04:21,"610 Kelsey Ford, New Stephanie, WY 19315"
C00077,Amanda Scott MD,bwhitaker@example.org,(742)956-6781x007,2025-03-03,CA,469,Active,2024-08-07 15:11:05,French,Credit Card,2024-07-27 07:07:52,"199 Barbara Well Apt. 843, West James, NY 21237"
C00078,Nicole Griffin,miguelrodriguez@example.com,+1-530-999-4213x24011,2024-11-19,APAC,873,Inactive,2025-03-08 15:07:18,English,Credit Card,2025-01-22 07:20:46,"93188 Hanna Lane Suite 373, Kimberlyfurt, LA 54905"
C00079,Justin Richard,guerrajames@example.org,202.450.6641x5127,2024-07-11,UK,497,Active,2024-10-03 14:59:21,Chinese,Credit Card,2024-12-13 06:47:29,"4848 Roberts Drive, Josephbury, LA 23549"
C00080,Jermaine Suarez,joecampbell@example.org,3536180216,2023-11-18,CA,382,Suspended,2025-06-03 23:53:14,German,PayPal,2024-12-28 08:27:41,"25972 Jared Shore Apt. 220, Tracymouth, VT 39635"
C00081,Brandon Lynch,gallen@example.net,644.561.2889x849,2024-09-02,EU,513,Inactive,2025-03-20 09:33:12,German,Credit Card,2025-01-20 16:39:17,"55450 Richardson Underpass, Ericmouth, SC 03421"
C00082,Alexandria Salinas,rachelhendrix@example.com,877-829-8851x067,2024-11-18,US,83,Active,2025-01-23 18:34:37,Chinese,Bank Transfer,2024-07-17 03:41:20,"2782 Monica Rapids, Victoriaview, FL 93334"
C00083,Brittany Baker,stevenschristine@example.net,+1-359-771-1364x999,2025-01-19,US,679,Active,2024-11-02 12:41:08,French,Bank Transfer,2025-03-03 00:45:04,"2300 Sally Canyon, West Heathermouth, MH 49935"
C00084,Eric Shaffer,mitchell99@example.net,933.962.9737,2023-07-02,US,496,Suspended,2024-09-10 19:40:39,German,Credit Card,2024-11-24 07:36:19,"8809 Meadows Valley Suite 150, Salastown, MI 45532"
C00085,Shawna Carrillo,hoffmankelly@example.com,9125926592,2024-10-06,US,662,Active,2024-07-10 00:33:11,German,Credit Card,2025-05-13 16:48:04,"728 Rachael Forge, Ashleyhaven, CA 03033"
C00086,Anthony Johnson,shane87@example.net,+1-696-295-1608x538,2024-03-05,APAC,275,Active,2025-02-04 23:22:49,Spanish,Credit Card,2025-03-24 09:46:15,"11037 Stephens Drive, South Juanton, WA 24612"
C00087,Andrew Reed,jhamilton@example.com,+1-768-439-4661x80822,2025-06-16,APAC,119,Suspended,2024-08-18 18:10:53,Chinese,PayPal,2024-09-27 20:21:55,"146 Nicole Mall, Port Nathan, CA 36266"
C00088,Kurt Howard,nancysalinas@example.org,323-275-3888,2023-08-05,EU,67,Active,2025-02-20 19:03:22,English,PayPal,2024-07-20 01:02:09,"760 Mckenzie Place Apt. 723, Dudleyfurt, NY 23911"
C00089,Karen Banks,thomasjohnson@example.net,+1-742-806-9400,2023-10-17,EU,577,Active,2024-12-19 02:06:02,German,Bank Transfer,2024-11-29 01:10:45,"6249 Goodman Club, Lake Tonyaland, ND 16955"
C00090,Samantha Mann,christinapage@example.org,001-385-676-4290x0883,2023-07-08,APAC,652,Inactive,2025-03-29 03:55:09,German,Credit Card,2025-05-08 20:54:21,"936 George Avenue Suite 528, Port Chadhaven, NH 82946"
C00091,Mr. Randall Patterson,denisethompson@example.net,496-945-7488x608,2024-03-03,APAC,102,Inactive,2024-11-11 14:30:46,French,Bank Transfer,2024-09-27 23:09:01,"6740 Hernandez Trail, New Matthew, MI 80956"
C00092,Katrina Gibbs,williamslisa@example.net,850-994-3882,2024-03-21,US,155,Inactive,2024-07-04 00:58:19,Chinese,PayPal,2024-12-27 11:55:40,"073 Michael Row Suite 897, Bensonstad, AR 98325"
C00093,Jennifer Acosta,qjensen@example.com,(582)907-7848,2023-12-06,US,311,Suspended,2025-03-04 19:01:44,Spanish,Bank Transfer,2024-10-04 11:11:23,"564 Rhonda Valley, Tuckerport, NM 07546"
C00094,Rebecca Griffin,nathanielwarren@example.com,481.566.0769x2839,2025-04-22,UK,797,Suspended,2024-10-15 15:15:30,Chinese,Credit Card,2024-07-15 19:16:20,"571 Joe Points Apt. 852, South Melanie, KY 37349"
C00095,Matthew Weaver,ufloyd@example.net,8058791281,2023-11-10,UK,424,Active,2024-08-06 03:43:27,Spanish,Bank Transfer,2025-02-23 23:51:12,"6379 Hays Crossroad Apt. 564, West Tiffany, MI 91361"
C00096,William Kennedy,gbarnes@example.org,001-664-511-9568x6082,2025-06-16,EU,334,Suspended,2024-11-09 14:05:23,German,Bank Transfer,2025-04-18 23:39:45,"PSC 5215, Box 9447, APO AA 54155"
C00097,Susan Rivera,darius31@example.net,212-500-9270,2024-03-10,APAC,492,Inactive,2024-12-13 12:31:46,English,PayPal,2025-05-05 03:11:28,"Unit 3705 Box 9070, DPO AE 08212"
C00098,Lindsay Pacheco,omarpoole@example.net,9917823624,2023-08-06,EU,136,Inactive,2024-09-27 02:05:20,Spanish,Bank Transfer,2024-10-24 18:45:37,"98319 Gilmore Fields Apt. 332, West Patriciaton, MH 50745"
C00099,Robert Wagner,bbishop@example.com,(245)239-3823x40488,2024-04-19,APAC,886,Inactive,2025-01-08 12:44:09,German,Bank Transfer,2025-01-12 20:29:13,"USCGC Mendoza, FPO AP 51760"
C00100,Benjamin Hartman,hbryant@example.net,628.626.3536x68974,2025-01-15,US,42,Suspended,2024-12-24 15:02:23,French,Bank Transfer,2025-01-27 06:34:29,"6042 Brian Curve, North Justinborough, TN 38033"
C00004,William Wilson,markcook@example.net,+1-591-669-3947,2023-12-08,UK,426,Suspended,2025-02-09 19:30:37,Spanish,Bank Transfer,2024-07-10 21:17:43,"1015 Jennifer Forest Apt. 461, Butlerview, GA 85502"
